Наименование / ФИО,Тип субъекта,Категория,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Нематериальные активы 2024,Нематериальные активы 2023,Основные средства 2024,Основные средства 2023,Доходные вложения 2024,Доходные вложения 2023,Доход 2024,Доход 2023,Амортизация НМА(приблизительно),Амортизация вся(приблизительно),ebita,ebitda
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СК ""СТРОЙ-НК""",Юридическое лицо,Малое предприятие,6316193582,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,г Самара,,0,0,88,111,0,0,976,61751,0,0,976,953
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СК ""СТРОЙЗАКАЗЧИК""",Юридическое лицо,Малое предприятие,7453268263,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,,г Челябинск,,85,139,39748,39037,40697,45026,-604,32191,0,0,-658,-4276
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СК ""СТРОЙИНТЕГРА""",Юридическое лицо,Малое предприятие,6686051014,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,г Березовский,,0,0,6026,7491,0,0,30513,69427,0,0,30513,29048
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СК ""СТРОЙКОМПЛЕКС""",Юридическое лицо,Малое предприятие,7725353422,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,42,698,14542,14489,18626,26341,-395,89814,0,0,-1051,-8713
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СК ""СУ-22""",Юридическое лицо,Малое предприятие,6679058509,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,г Екатеринбург,,0,0,414,434,0,0,-1006,53535,0,0,-1006,-1026
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СК ""ТЕХНОЛОГИЯ""",Юридическое лицо,Малое предприятие,6319194270,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,г Самара,,0,0,16496,1643,0,0,17574,287988,0,14853,17574,32427
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СК ""ТЭКВУР""",Юридическое лицо,Малое предприятие,6670313497,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,г Екатеринбург,,0,0,0,0,0,0,3315,74332,0,0,3315,3315
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СК ""УНИВЕРСАЛ""",Юридическое лицо,Малое предприятие,4825125294,41.20 Строительство жилых и нежилых зданий,48 - Липецкая область,,г Липецк,,0,0,5095,6429,5621,6429,-5,3986,0,0,-5,-2147
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СК ""УРАЛСТРОЙ-АНТИКОР""",Юридическое лицо,Малое предприятие,6670358018,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,г Екатеринбург,,3245,453,16477,11999,50285,51660,-32,33430,2792,5895,2760,5863
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СК ""ФАСАД""",Юридическое лицо,Малое предприятие,5027139129,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,2163,5945,30563,36683,44947,113224,-2398,41503,0,0,-6180,-80577
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СК ""ФАСАД""",Юридическое лицо,Малое предприятие,8603220850,41.20 Строительство жилых и нежилых зданий,86 - Ханты-Мансийский автономный округ - Югра,,г Нижневартовск,,0,0,0,113,0,1860,-12676,9995,0,0,-12676,-14649
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СК ""ФОРДЕВИНД""",Юридическое лицо,Малое предприятие,5503174732,41.20 Строительство жилых и нежилых зданий,55 - Омская область,,г Омск,,25909,6211,116760,31288,338915,89882,-202,250,19698,354203,19496,354001
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СК ""ЦИТАДЕЛЬ""",Юридическое лицо,Малое предприятие,6950205543,41.20 Строительство жилых и нежилых зданий,69 - Тверская область,,г Тверь,,3958,3328,5424,2484,9623,5909,-866,49332,630,7284,-236,6418
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СК ""ЭЛЕКТРОСВЕТ""",Юридическое лицо,Малое предприятие,4205325511,41.20 Строительство жилых и нежилых зданий,42 - Кемеровская область,,г Кемерово,,0,0,1733,2141,0,0,-4058,58224,0,0,-4058,-4466
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СК ПРЕДПРИЯТИЕ ""ПРОГРЕСС""",Юридическое лицо,Малое предприятие,5258031531,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,0,0,11951,3388,0,0,737,297682,0,8563,737,9300
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СМП ""ПЕРСПЕКТИВА""",Юридическое лицо,Малое предприятие,5402019064,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Новосибирск,,101588,56787,126370,118224,494597,300858,-1263,358214,44801,246686,43538,245423
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СМУ ""ГРАЖДАНСТРОЙ""",Юридическое лицо,Малое предприятие,2312006139,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,0,0,0,0,0,0,-4377,94,0,0,-4377,-4377
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СМУ ""ЭКО-СТРОЙ""",Юридическое лицо,Малое предприятие,6679046976,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,,г Тюмень,,43010,42084,180662,61656,223672,105638,-149,83902,926,237966,777,237817
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ""МИНСКСТРОЙЭКСПОРТ""",Юридическое лицо,Малое предприятие,4028058054,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,,г Калуга,,0,0,0,2344,0,0,323,313875,0,0,323,-2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ""САХВЕСТСТРОЙ""",Юридическое лицо,Малое предприятие,6501089145,41.20 Строительство жилых и нежилых зданий,65 - Сахалинская область,,г Южно-Сахалинск,,0,0,13799,16473,0,0,-4675,300353,0,0,-4675,-7349
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СП ""ИНСАН""",Юридическое лицо,Малое предприятие,1001183454,41.20 Строительство жилых и нежилых зданий,10 - Республика Карелия,,г Петрозаводск,,0,0,0,0,0,0,179,538,0,0,179,179
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННОЕ МОНТАЖНОЕ ПРЕДПРИЯТИЕ ""ДУБЕНСКОЕ""",Юридическое лицо,Малое предприятие,1306075380,41.20 Строительство жилых и нежилых зданий,13 - Республика Мордовия,Дубенский р-н,,с Дубенки,0,0,8031,10714,0,0,-2120,75816,0,0,-2120,-4803
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""АВА""",Юридическое лицо,Малое предприятие,6102062670,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,Аксайский р-н,г Аксай,,0,0,63968,348906,31811,31811,-18569,32773,0,0,-18569,-303507
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""АВРОРА""",Юридическое лицо,Малое предприятие,7840011219,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,95355,13569,0,0,199972,1618048,0,81786,199972,281758
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""АГРОСТРОЙ""",Юридическое лицо,Малое предприятие,3327843653,41.20 Строительство жилых и нежилых зданий,33 - Владимирская область,,г Владимир,,0,0,179,0,0,0,-1996,35951,0,179,-1996,-1817
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""АЗОВСТРОЙ""",Юридическое лицо,Малое предприятие,6164029828,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,,г Азов,,0,0,232014,45418,0,0,1860,69732,0,186596,1860,188456
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""АК ТАШ-ИНВЕСТСТРОЙ""",Юридическое лицо,Малое предприятие,1660295320,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,0,0,0,0,9041,0,71881,3104085,0,9041,71881,80922
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""АЛЬФА""",Юридическое лицо,Среднее предприятие,2460001399,41.20 Строительство жилых и нежилых зданий,24 - Красноярский край,,г Красноярск,,0,0,7642,12905,0,0,760855,126077,0,0,760855,755592
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""АЛЬЯНССТРОЙСЕРВИСПЛЮС""",Юридическое лицо,Малое предприятие,6829158110,41.20 Строительство жилых и нежилых зданий,68 - Тамбовская область,Тамбовский р-н,,д Красненькая,0,0,243273,1071293,0,0,101039,122033,0,0,101039,-726981
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""БУРГРАЖДАНСТРОЙ""",Юридическое лицо,Малое предприятие,326523359,41.20 Строительство жилых и нежилых зданий,03 - Республика Бурятия,,г Улан-Удэ,,0,0,1523785,1338878,0,0,-39047,2677,0,184907,-39047,145860
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ВИВА""",Юридическое лицо,Малое предприятие,2508055910,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Находка,,0,0,74453,77615,0,0,71533,3430153,0,0,71533,68371
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ВИЗИТ ДВ""",Юридическое лицо,Малое предприятие,2503025397,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Большой Камень,,189,3,13333,14262,25743,26538,98594,536472,186,0,98780,97056
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ВЫБОРСТРОЙ ЧЕТЫРЕ""",Юридическое лицо,Малое предприятие,3662276895,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,,г Воронеж,,0,0,2222,3888,0,0,32891,954817,0,0,32891,31225
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ВЫСОТА""",Юридическое лицо,Малое предприятие,7448051385,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,,г Челябинск,,1179,0,59550,9976,0,0,18916,1152349,1179,50753,20095,69669
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ВЫСОТСТРОЙГРУПП""",Юридическое лицо,Малое предприятие,7606101810,41.20 Строительство жилых и нежилых зданий,76 - Ярославская область,,г Ярославль,,0,0,0,0,0,0,151000,180338,0,0,151000,151000
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ГЕФЕСТ-ИНВЕСТ""",Юридическое лицо,Малое предприятие,7704795660,41.20 Строительство жилых и нежилых зданий,50 - Московская область,Одинцово г,г Звенигород,,0,0,160128,169080,0,0,734,7672,0,0,734,-8218
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ГЛОРИЯ""",Юридическое лицо,Среднее предприятие,5321072550,41.20 Строительство жилых и нежилых зданий,53 - Новгородская область,,г Великий Новгород,,0,1,27998,12087,0,0,-21000,813089,0,15910,-21001,-5090
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ГОЛДЛАЙН""",Юридическое лицо,Малое предприятие,1435168723,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),,г Якутск,,0,0,40387,18663,99209,62812,197647,212667,0,58121,197647,255768
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ГРАНИТ""",Юридическое лицо,Малое предприятие,6324041030,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,г Тольятти,,0,0,344608,101509,0,0,-27447,27694,0,243099,-27447,215652
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ДИАЛОГ-СТРОЙ""",Юридическое лицо,Малое предприятие,2623802415,41.20 Строительство жилых и нежилых зданий,26 - Ставропольский край,Шпаковский р-н,г Михайловск,,0,0,9846,7459,0,0,4702,68026,0,2387,4702,7089
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ДОМ-75""",Юридическое лицо,Малое предприятие,6316041861,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,г Самара,,51,57,125,143,0,0,-17439,28275,0,0,-17445,-17463
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ДОНСТРОЙ""",Юридическое лицо,Малое предприятие,6165129230,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,,г Ростов-на-Дону,,0,0,3935,4304,0,0,-3803,692,0,0,-3803,-4172
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ДОНСТРОЙ""",Юридическое лицо,Малое предприятие,6165197180,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,,г Ростов-на-Дону,,0,0,13297,8379,0,0,335,206,0,4918,335,5253
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ЖИЛКАПИНВЕСТ""",Юридическое лицо,Малое предприятие,7714303772,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,0,0,0,0,-31457,3979880,0,0,-31457,-31457
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ЖИЛСТРОЙ""",Юридическое лицо,Малое предприятие,1901140686,41.20 Строительство жилых и нежилых зданий,19 - Республика Хакасия,,г Абакан,,0,0,284643,336993,0,0,10217,264316,0,0,10217,-42133
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ИНВЕСТИЦИОННАЯ СТРОИТЕЛЬНАЯ ФИРМА ""СТЭЛ""",Юридическое лицо,Малое предприятие,3662058103,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,,г Воронеж,,516,611,48935,23576,0,0,8223,10542,0,25264,8128,33487
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ИНВЕСТЭНЕРГОСТРОЙ""",Юридическое лицо,Малое предприятие,5025013890,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,39443,46249,0,0,-10878,34600,0,0,-10878,-17684
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КАЗАНСКИЙ ПОСАД""",Юридическое лицо,Среднее предприятие,1207008978,41.20 Строительство жилых и нежилых зданий,12 - Республика Марий Эл,Медведевский р-н,,пгт Медведево,0,0,54275,13357,0,0,89510,1039661,0,40918,89510,130428
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КАСКАД+""",Юридическое лицо,Малое предприятие,4632203108,41.20 Строительство жилых и нежилых зданий,46 - Курская область,,г Курск,,0,0,51513,36511,0,0,370232,495153,0,15002,370232,385234
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КВАНТ""",Юридическое лицо,Малое предприятие,2315128375,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Новороссийск,,127858,71436,110389,95847,244673,177625,-2869,38767,56422,138012,53553,135143
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КВАРТАЛ-С""",Юридическое лицо,Среднее предприятие,5445019862,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Бердск,,0,0,3517,2719,0,0,2964,535562,0,798,2964,3762
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КМ-ИНВЕСТ""",Юридическое лицо,Среднее предприятие,2312149874,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,0,0,0,0,0,0,132164,1952900,0,0,132164,132164
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КМАСТРОЙ""",Юридическое лицо,Малое предприятие,3127012330,41.20 Строительство жилых и нежилых зданий,31 - Белгородская область,,г Губкин,,0,0,0,2103,0,0,-33874,229522,0,0,-33874,-35977
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КПД МОНТАЖ""",Юридическое лицо,Малое предприятие,3907211591,41.20 Строительство жилых и нежилых зданий,39 - Калининградская область,,г Калининград,,0,0,2758,830294,0,0,3083,98188,0,0,3083,-824453
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КПД СТРОЙ""",Юридическое лицо,Малое предприятие,3907211633,41.20 Строительство жилых и нежилых зданий,39 - Калининградская область,,г Калининград,,0,0,1526,1526,0,0,200014,238151,0,0,200014,200014
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КРАСНООБСК.МОНТАЖСПЕЦСТРОЙ""",Юридическое лицо,Малое предприятие,5433120579,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,Новосибирский р-н,,рп Краснообск,2,25,0,0,223527,2443666,4774,254687,0,0,4751,-2215388
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ЛЕГОС""",Юридическое лицо,Малое предприятие,3616006140,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,Новоусманский р-н,,с Новая Усмань,0,0,22887,26326,0,0,3818,669139,0,0,3818,379
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ЛИГОВСКИЙ КАНАЛ""",Юридическое лицо,Среднее предприятие,4720027099,41.20 Строительство жилых и нежилых зданий,47 - Ленинградская область,Ломоносовский р-н,,,0,0,149434,375175,488349,0,36672,598407,0,262608,36672,299280
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""МАГМА СИМБИРСК""",Юридическое лицо,Малое предприятие,7321316785,41.20 Строительство жилых и нежилых зданий,73 - Ульяновская область,,г Ульяновск,,0,0,157043,134388,0,0,154975,539831,0,22655,154975,177630
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""МЕЖРЕГИОНСТРОЙ""",Юридическое лицо,Малое предприятие,6449094968,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,г Энгельс,,0,0,203,19742,0,0,13654,472671,0,0,13654,-5885
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""МЕТЧЕЛСТРОЙ""",Юридическое лицо,Малое предприятие,7450018152,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,,г Челябинск,,0,0,21384,21145,0,0,67576,258209,0,239,67576,67815
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""МИКРО ДСК""",Юридическое лицо,Малое предприятие,6901042590,41.20 Строительство жилых и нежилых зданий,69 - Тверская область,,г Тверь,,0,0,94045,181758,0,0,-17671,1311,0,0,-17671,-105384
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""МОЛОДЕЖНЫЙ ЖИЛИЩНЫЙ КОМПЛЕКС""",Юридическое лицо,Малое предприятие,8617027487,41.20 Строительство жилых и нежилых зданий,86 - Ханты-Мансийский автономный округ - Югра,Сургутский р-н,г Лянтор,,43005,32489,38359,70306,197570,145194,-2463,204027,10516,30945,8053,28482
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""МОНТАЖЖИЛСТРОЙ-Т""",Юридическое лицо,Малое предприятие,6154141958,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,,г Таганрог,,0,0,17924,12288,0,0,262665,117901,0,5636,262665,268301
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""НАУЧНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ МЕТАЛЕР""",Юридическое лицо,Малое предприятие,5075016751,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,32832,40046,0,0,-4599,631708,0,0,-4599,-11813
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""НИЖНЕВОЛЖСКАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,3017039989,41.20 Строительство жилых и нежилых зданий,30 - Астраханская область,,г Астрахань,,0,0,20319,3162,0,0,73585,559972,0,17157,73585,90742
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""НИКОЛЬСКИЕ ВОРОТА - 2000""",Юридическое лицо,Малое предприятие,6730036219,41.20 Строительство жилых и нежилых зданий,67 - Смоленская область,,г Смоленск,,0,0,7626,7256,0,0,9766,172094,0,370,9766,10136
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""НОВЫЙ АДРЕС""",Юридическое лицо,Малое предприятие,4028072130,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,,г Калуга,,0,0,0,0,0,0,-16827,34096,0,0,-16827,-16827
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""НОВЫЙ ГОРОД""",Юридическое лицо,Малое предприятие,4025084289,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,,г Обнинск,,6437,6413,314050,90426,182930,70693,1209389,231605,24,335885,1209413,1545274
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""НОРСТРОЙ""",Юридическое лицо,Малое предприятие,8601038701,41.20 Строительство жилых и нежилых зданий,86 - Ханты-Мансийский автономный округ - Югра,,г Ханты-Мансийск,,0,0,30263,30380,1438,1438,-59495,594625,0,0,-59495,-59612
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ОГНИ ЯМАЛА""",Юридическое лицо,Малое предприятие,8913007106,41.20 Строительство жилых и нежилых зданий,89 - Ямало-Ненецкий автономный округ,,г Губкинский,,159,182,13725,1288,0,0,-232383,90407,0,12414,-232406,-219969
